dis_detail_id,pet,pr,tmax
218,135.1,86.30000000000001,29.769999
219,129.7,84.2,28.869999
220,128.7,83.30000000000001,28.769999
221,135.6,92.1,29.72
222,137.1,27.4,32.309998
223,131.7,71.3,28.41
224,115.200005,69.9,26.5
225,123.3,55.3,25.869999
226,124.0,74.60000000000001,27.59
227,122.5,72.0,27.439999
228,127.4,88.60000000000001,28.63
229,125.0,63.0,27.68
230,129.3,60.3,28.25
231,115.5,106.1,27.39
232,133.8,85.0,29.039999
233,115.200005,69.9,26.5
234,134.40001,86.30000000000001,29.22
235,135.1,86.30000000000001,29.769999
236,129.7,84.2,28.869999
237,128.7,83.30000000000001,28.769999
238,120.700005,112.7,28.26
239,140.6,39.3,30.58
240,134.6,52.5,29.5
241,155.7,16.400000000000002,33.77
242,134.6,59.8,29.289999
243,124.0,75.4,28.8
244,113.6,101.4,26.88
245,131.7,71.3,28.41
246,131.5,72.0,28.599998
247,124.0,74.60000000000001,27.59
248,122.5,72.0,27.439999
249,131.6,77.60000000000001,28.769999
250,115.700005,99.7,26.32
251,116.4,96.4,26.48
252,113.3,103.9,26.369999
253,112.6,99.3,25.849998
254,124.6,12.9,25.029999
255,128.1,85.9,28.019999
256,129.0,45.5,28.16
257,113.6,101.4,26.88
258,118.0,107.1,27.91
259,117.9,108.6,27.73
260,129.1,83.9,28.609999
261,141.90001,79.10000000000001,29.439999
262,117.700005,103.9,27.55
263,119.0,20.9,26.789999
264,190.7,21.4,36.21
265,111.0,138.70000000000002,25.4
266,114.9,117.8,27.18
267,117.4,112.1,27.71
268,124.1,51.1,27.16
269,128.8,63.7,27.9
270,127.5,62.7,27.519999
271,151.90001,33.7,31.789999
272,,,
273,,,
274,135.2,67.10000000000001,29.16
275,126.1,40.2,27.55
276,130.2,106.8,30.609999
277,117.8,114.3,27.96
278,135.1,86.30000000000001,29.769999
279,135.6,92.1,29.72
280,144.40001,37.9,30.01
281,124.5,121.6,29.01
282,122.9,119.4,28.88
283,132.3,76.10000000000001,28.779999
284,124.0,74.60000000000001,27.59
285,121.4,20.200000000000003,26.97
286,154.3,32.7,31.74
287,123.1,57.900000000000006,27.359999
288,125.0,63.0,27.68
289,148.5,28.9,31.5
290,120.4,105.8,28.539999
291,131.5,72.0,28.599998
292,133.8,85.0,29.039999
293,129.3,60.3,28.25
294,124.1,51.1,27.16
295,127.5,62.7,27.519999
296,135.1,86.30000000000001,29.769999
297,133.5,18.9,29.039999
298,154.3,11.4,31.449999
299,123.700005,87.2,29.25
300,123.1,101.3,29.449999
301,123.4,82.7,29.73
302,131.7,71.3,28.41
303,131.6,77.60000000000001,28.769999
304,128.7,83.30000000000001,28.769999
305,157.0,10.1,31.779999
306,140.6,39.3,30.58
307,134.6,52.5,29.5
308,125.3,55.1,28.34
309,122.5,72.0,27.439999
310,146.90001,11.8,29.039999
311,123.1,57.900000000000006,27.359999
312,125.0,63.0,27.68
313,121.200005,97.8,27.59
314,122.200005,94.0,27.65
315,190.7,21.4,36.21
316,,,
317,128.8,63.7,27.9
318,151.90001,33.7,31.789999
319,,,
320,,,
321,118.9,48.8,26.4
322,134.40001,86.30000000000001,29.22
323,131.5,85.10000000000001,29.279999
324,131.0,82.60000000000001,29.15
325,135.1,86.30000000000001,29.769999
326,128.7,83.30000000000001,28.769999
327,135.6,92.1,29.72
328,138.2,13.1,30.279999
329,129.8,42.8,31.63
330,131.8,42.400000000000006,32.67
331,128.8,71.10000000000001,30.599998
332,115.5,100.2,26.849998
333,132.3,76.10000000000001,28.779999
334,135.1,86.30000000000001,29.769999
335,115.700005,99.7,26.32
336,116.4,96.4,26.48
337,148.8,12.3,30.359999
338,137.0,12.8,29.74
339,123.1,57.900000000000006,27.359999
340,125.0,63.0,27.68
341,127.4,88.60000000000001,28.63
342,141.90001,79.10000000000001,29.439999
343,137.5,11.7,30.519999
344,103.8,102.4,29.07
345,84.6,96.3,21.58
346,87.9,133.3,24.07
347,92.9,172.60000000000002,23.16
348,97.200005,184.3,26.48
349,96.0,144.5,28.66
350,102.8,128.5,28.949999
351,98.9,114.0,27.58
352,94.0,138.8,29.14
353,79.3,76.10000000000001,23.039999
354,100.9,97.2,24.8
355,103.6,141.9,26.4
356,97.9,179.0,24.51
357,99.6,93.6,28.849998
358,100.6,99.5,29.01
359,100.9,100.5,28.59
360,84.9,249.0,22.109999
361,94.4,122.1,28.66
362,89.9,51.1,25.08
363,93.1,65.9,24.699999
364,94.1,115.3,23.93
365,88.3,58.0,21.93
366,86.8,244.3,22.83
367,84.9,249.0,22.109999
368,92.0,107.0,22.84
369,149.5,5.9,31.369999
370,91.1,123.1,22.769999
371,95.6,182.4,24.96
372,82.6,61.0,22.97
373,84.200005,59.900000000000006,23.43
374,91.6,113.7,22.57
375,93.700005,116.5,23.71
376,92.8,115.5,22.58
377,90.200005,70.0,24.59
378,88.8,74.5,23.96
379,94.200005,106.2,23.6
380,,,
381,98.6,106.0,24.18
382,105.5,135.1,27.17
383,,,
384,,,
385,96.4,147.5,24.369999
386,96.4,148.9,23.18
387,99.1,193.6,25.23
388,87.700005,114.7,26.689999
389,87.6,60.400000000000006,24.0
390,88.200005,105.6,21.9
391,84.6,96.3,21.58
392,98.200005,109.3,24.35
393,100.9,97.2,24.8
394,88.9,92.1,22.98
395,81.3,61.0,21.539999
396,80.8,60.2,21.18
397,100.200005,16.3,24.55
398,99.700005,99.5,24.73
399,,,
400,87.700005,114.7,26.689999
401,86.9,72.0,25.13
402,84.5,74.10000000000001,24.949999
403,93.200005,120.6,23.58
404,95.0,111.3,23.9
405,87.6,53.6,23.21
406,86.3,53.6,23.42
407,107.6,154.4,27.869999
408,91.4,114.7,22.609999
409,92.0,107.0,22.84
410,83.200005,85.4,21.85
411,83.4,86.0,21.859999
412,87.5,68.60000000000001,22.3
413,106.200005,73.2,26.55
414,89.3,18.1,23.49
415,82.700005,70.8,24.47
416,,,
417,92.9,172.60000000000002,23.16
418,87.6,18.3,23.39
419,90.5,66.8,25.16
420,84.6,96.3,21.58
421,102.9,23.0,23.519999
422,105.8,25.4,26.07
423,94.200005,106.2,23.6
424,93.1,51.900000000000006,27.279999
425,100.9,97.2,24.8
426,88.9,92.1,22.98
427,87.5,68.60000000000001,22.3
428,91.8,134.6,27.98
429,95.0,111.3,23.9
430,106.200005,73.2,26.55
431,149.5,5.9,31.369999
432,91.6,113.7,22.57
433,93.700005,116.5,23.71
434,92.8,115.5,22.58
435,98.6,106.0,24.18
436,105.5,135.1,27.17
437,,,
438,,,
439,88.200005,105.6,21.9
440,98.200005,109.3,24.35
441,100.9,97.2,24.8
442,99.700005,99.5,24.73
443,96.0,22.9,25.56
444,92.0,63.1,26.23
445,79.9,92.1,22.68
446,94.1,115.3,23.93
447,100.4,23.3,25.519999
448,84.5,63.0,21.789999
449,69.8,90.5,21.99
450,80.4,64.3,21.09
451,90.6,71.60000000000001,24.609999
452,89.6,37.9,25.07
453,,,
454,87.200005,64.7,23.15
455,84.700005,33.1,22.43
456,82.700005,73.2,23.609999
457,74.1,105.8,19.71
458,79.0,71.2,21.4
459,77.5,22.3,24.84
460,76.1,39.1,23.3
461,77.4,89.60000000000001,20.539999
462,83.0,92.2,22.769999
463,78.8,78.2,20.609999
464,80.200005,80.4,21.24
465,83.5,63.3,21.92
466,82.1,66.7,21.859999
467,108.700005,2.5,29.46
468,68.5,81.9,20.42
469,71.8,60.6,22.58
470,79.0,70.10000000000001,20.56
471,82.1,66.7,21.859999
472,75.1,107.9,23.08
473,90.700005,49.400000000000006,25.3
474,,,
475,,,
476,83.8,27.200000000000003,28.75
477,84.0,29.8,28.359999
478,73.5,90.9,25.56
479,71.8,100.7,22.869999
480,84.200005,76.5,22.51
481,83.0,92.2,22.769999
482,72.6,90.2,20.619999
483,81.8,107.7,24.68
484,77.0,16.3,23.18
485,80.3,24.0,24.56
486,90.5,19.6,25.689999
487,82.4,106.3,22.58
488,88.200005,27.5,28.81
489,75.1,138.8,25.67
490,81.700005,140.8,25.22
491,80.8,153.9,24.91
492,78.8,78.2,20.609999
493,80.200005,80.4,21.24
494,77.9,90.3,20.58
495,76.6,98.6,20.279999
496,82.4,74.60000000000001,21.949999
497,173.90000915527344,10.5,33.43000030517578
498,66.700005,82.0,20.4
499,67.1,83.0,19.98
500,73.200005,31.1,24.769999
501,74.200005,71.60000000000001,25.21
502,74.0,145.5,25.019999
503,78.200005,42.2,22.67
504,69.6,83.0,19.84
505,78.200005,155.70000000000002,25.269999
506,81.0,66.4,21.08
507,70.4,89.10000000000001,19.32
508,89.4000015258789,3.7,27.549999237060547
509,116.20000457763672,0.0,30.029998779296875
510,72.5,83.2,20.23
511,73.1,74.2,22.43
512,71.0,79.5,22.519999
513,71.3,85.80000000000001,22.25
514,91.6,31.1,26.74
515,74.3,92.3,20.369999
516,78.6,70.5,21.0
517,72.6,118.2,23.56
518,,,
519,84.5,63.0,21.789999
520,82.8,42.7,25.539999
521,79.0,70.10000000000001,20.56
522,82.1,66.7,21.859999
523,74.1,20.6,23.49
524,75.200005,20.8,23.58
525,61.2,48.0,21.18
526,61.2,51.1,23.72
527,83.6,71.8,22.4
528,82.200005,33.1,29.519999
529,84.4,32.9,29.13
530,84.4,33.6,28.5
531,84.200005,76.5,22.51
532,83.0,92.2,22.769999
533,89.6,37.9,25.07
534,73.3,28.200000000000003,24.67
535,76.200005,33.2,26.24
536,87.200005,64.7,23.15
537,81.200005,38.400000000000006,27.91
538,83.0,67.3,22.06
539,75.1,138.8,25.67
540,78.1,58.0,20.23
541,,,
542,99.700005,9.8,28.07
543,,,
544,90.6,71.60000000000001,24.609999
545,108.700005,2.5,29.46
546,85.700005,41.2,24.8
547,78.4,77.4,25.609999
548,81.0,66.4,21.08
549,80.4,64.3,21.09
550,79.0,71.2,21.4
551,100.700005,16.900000000000002,27.82
552,66.9,17.900000000000002,23.96
553,90.700005,49.400000000000006,25.3
554,,,
555,,,
556,78.200005,45.900000000000006,27.49
557,78.1,58.0,20.23
558,74.1,105.8,19.71
559,78.4,95.9,21.68
560,78.4,96.5,21.529999
561,83.0,92.2,22.769999
562,79.700005,87.10000000000001,21.699999
563,69.8,114.5,19.25
564,69.9,19.5,24.019999
565,82.4,106.3,22.58
566,68.3,24.8,24.189999
567,99.8,25.1,27.49
568,78.4,77.4,25.609999
569,68.4,132.70000000000002,21.17
570,83.5,63.3,21.92
571,77.9,90.3,20.58
572,76.6,98.6,20.279999
573,77.4,89.60000000000001,20.539999
574,83.0,92.2,22.769999
575,82.4,74.60000000000001,21.949999
576,72.5,83.2,20.23
577,71.3,21.3,23.789999
578,67.6,43.1,23.109999
579,61.7,28.1,23.39
580,81.700005,140.8,25.22
581,80.8,153.9,24.91
582,78.8,78.2,20.609999
583,80.200005,80.4,21.24
584,79.700005,87.10000000000001,21.699999
585,79.0,71.2,21.4
586,64.1,29.9,23.8
587,90.6,71.60000000000001,24.609999
588,95.6,20.700000000000003,27.099998
589,84.5,63.0,21.789999
590,79.0,70.10000000000001,20.56
591,82.1,66.7,21.859999
592,80.4,64.3,21.09
593,83.6,71.8,22.4
594,69.8,90.5,21.99
595,74.1,105.8,19.71
596,84.200005,76.5,22.51
597,83.0,92.2,22.769999
598,72.6,90.2,20.619999
599,89.6,37.9,25.07
600,78.9,17.5,20.449999
601,70.5,26.200000000000003,20.52
602,70.0,26.4,17.38
603,72.4,27.0,17.869999
604,77.0,25.200000000000003,19.01
605,68.4,31.1,17.199999
606,76.3,31.1,18.93
607,70.6,31.9,19.689999
608,68.1,37.2,22.08
609,71.700005,28.0,20.52
610,64.1,93.1,16.97
611,87.8,6.300000000000001,22.92
612,61.3,63.5,16.23
613,63.4,76.3,19.26
614,63.600002,64.0,19.74
615,75.0,22.6,18.08
616,72.4,135.70000000000002,19.49
617,80.9,134.4,21.43
618,90.4,137.70000000000002,21.82
619,,,
620,80.0,22.9,22.609999
621,,,
622,,,
623,76.6,2.2,26.65
624,84.1,17.400000000000002,20.109999
625,65.5,45.400000000000006,23.64
626,69.1,128.0,19.27
627,67.5,21.700000000000003,16.89
628,74.700005,43.7,19.289999
629,69.200005,96.8,19.0
630,63.2,78.2,15.92
631,68.6,91.1,18.779999
632,69.5,39.5,18.21
633,57.0,54.1,14.589999
634,79.5,2.2,26.51
635,78.4,136.1,22.82
636,75.6,131.5,22.51
637,72.4,27.0,17.869999
638,76.9,26.4,19.13
639,66.0,30.8,22.99
640,83.8,6.300000000000001,24.519999
641,71.700005,24.200000000000003,20.199999
642,64.200005,55.6,20.539999
643,68.700005,49.7,20.26
644,77.6,21.1,18.96
645,75.6,31.700000000000003,18.59
646,74.5,29.5,18.34
647,68.5,63.0,19.73
648,71.8,18.9,20.73
649,68.8,20.700000000000003,20.88
650,70.8,22.3,17.4
651,70.0,26.4,17.38
652,77.700005,23.8,18.34
653,74.700005,43.7,19.289999
654,63.100002,112.2,20.31
655,82.700005,13.7,22.55
656,66.6,39.7,22.58
657,65.700005,38.5,23.81
658,78.9,17.5,20.449999
659,57.0,54.1,14.589999
660,76.8,3.5,26.849998
661,76.5,4.2,26.449999
662,68.4,31.1,17.199999
663,63.5,63.5,18.369999
664,81.6,23.200000000000003,20.96
665,59.8,44.900000000000006,15.74
666,87.8,6.300000000000001,22.92
667,81.6,23.200000000000003,20.96
668,59.4,36.5,15.099999
669,74.200005,9.9,27.5
670,80.0,22.9,22.609999
671,,,
672,,,
673,78.0,9.7,26.9
674,76.8,24.8,18.73
675,75.0,22.6,18.08
676,63.3,116.9,20.42
677,50.100002,99.1,16.27
678,50.0,100.9,18.81
679,74.5,29.5,18.34
680,71.0,20.200000000000003,19.529999
681,75.8,33.800000000000004,19.08
682,74.8,8.9,27.5
683,70.8,8.6,25.08
684,69.9,20.8,22.82
685,60.9,24.9,18.279999
686,67.5,21.700000000000003,16.89
687,72.4,27.0,17.869999
688,76.200005,33.9,19.199999
689,74.700005,43.7,19.289999
690,70.1,17.1,19.189999
691,55.0,105.8,20.09
692,69.5,39.5,18.21
693,75.6,131.5,22.51
694,77.0,25.200000000000003,19.01
695,76.9,26.4,19.13
696,76.3,31.1,18.93
697,71.0,24.1,19.97
698,70.6,17.6,19.31
699,63.4,42.8,15.45
700,75.9,10.3,26.74
701,72.6,26.200000000000003,20.039999
702,71.700005,24.200000000000003,20.199999
703,70.8,22.3,17.4
704,72.4,27.0,17.869999
705,77.700005,23.8,18.34
706,80.9,134.4,21.43
707,79.9,8.9,22.5
708,62.8,35.0,19.15
709,72.4,135.70000000000002,19.49
710,54.5,103.8,18.46
711,71.0,20.200000000000003,19.529999
712,78.9,17.5,20.449999
713,80.1,10.8,22.75
714,84.0,4.3,25.26
715,77.5,14.7,22.119999
716,68.1,37.2,22.08
717,70.5,26.200000000000003,20.52
718,72.4,27.0,17.869999
719,68.5,27.3,17.56
720,70.3,27.5,17.75
721,70.8,20.1,19.58
722,64.1,93.1,16.97
723,,,
724,75.8,33.800000000000004,19.08
725,87.0,3.2,25.68
726,84.8,2.0,25.15
727,71.700005,28.0,20.52
728,77.0,25.200000000000003,19.01
729,76.8,24.8,18.73
730,76.9,26.4,19.13
731,73.4,44.1,19.18
732,76.200005,33.9,19.199999
733,194.90000915527344,7.800000000000001,32.43000030517578
734,157.3000030517578,14.0,30.689998626708984
735,157.3000030517578,14.0,30.689998626708984
736,74.700005,43.7,19.289999
737,72.200005,90.4,18.99
738,69.200005,96.8,19.0
739,68.6,91.1,18.779999
740,74.5,29.5,18.34
741,54.8,85.0,19.24
742,,,
743,104.0,3.3000000000000003,22.65999984741211
744,58.60000228881836,26.6,15.579999923706056
745,63.900001525878906,38.5,18.420000076293945
746,65.5999984741211,28.700000000000003,19.11999893188477
747,72.80000305175781,1.5,17.44999885559082
748,51.60000228881836,28.1,14.130000114440918
749,85.0999984741211,1.3,21.809999465942383
750,,,
751,,,
752,79.30000305175781,4.4,25.5
753,64.70000457763672,76.3,18.670000076293945
754,65.5999984741211,2.6,16.350000381469727
755,175.5,40.900000000000006,31.53999900817871
756,159.8000030517578,8.9,31.67999839782715
757,132.5,37.1,28.01000022888184
758,78.30000305175781,2.7,18.15999984741211
759,61.5,6.0,15.09999942779541
760,57.79999923706055,6.4,14.679999351501465
761,67.4000015258789,0.6000000000000001,18.44999885559082
762,75.80000305175781,119.5,21.19999885559082
763,70.0,2.9000000000000004,17.079999923706055
764,72.80000305175781,2.9000000000000004,17.510000228881836
765,76.20000457763672,2.8000000000000003,18.959999084472656
766,155.0,4.4,30.25
767,74.4000015258789,1.7000000000000002,18.40999984741211
768,46.5,51.7,16.940000534057617
769,72.9000015258789,2.4000000000000004,16.93000030517578
770,71.30000305175781,0.8,19.46999931335449
771,133.0,8.8,26.670000076293945
772,73.20000457763672,0.8,18.96999931335449
773,73.5999984741211,1.0,19.56999969482422
774,84.5999984741211,0.4,20.709999084472656
775,65.80000305175781,31.9,19.78999900817871
776,92.20000457763672,3.6,21.10999870300293
777,76.80000305175781,0.5,18.65999984741211
778,74.70000457763672,1.2000000000000002,17.989999771118164
779,75.80000305175781,1.4,18.279998779296875
780,63.0,7.7,16.60999870300293
781,80.80000305175781,4.9,24.299999237060547
782,72.80000305175781,2.9000000000000004,17.510000228881836
783,75.9000015258789,1.1,18.35999870300293
784,75.0,1.6,18.06999969482422
785,75.0,1.6,18.559999465942383
786,74.4000015258789,1.7000000000000002,18.40999984741211
787,63.0,7.7,16.60999870300293
788,52.5,16.400000000000002,14.119999885559082
789,57.79999923706055,6.4,14.679999351501465
790,61.10000228881836,70.0,20.059999465942383
791,56.400001525878906,15.7,18.86999893188477
792,73.9000015258789,13.6,20.09000015258789
793,59.60000228881836,83.2,19.43000030517578
794,85.0999984741211,0.7000000000000001,22.0
795,67.4000015258789,0.6000000000000001,18.44999885559082
796,80.0,0.4,20.059999465942383
797,68.20000457763672,24.1,21.59000015258789
798,84.80000305175781,3.2,25.5
799,68.5,0.8,18.520000457763672
800,61.20000076293945,75.3,19.809999465942383
801,73.0,14.9,19.68000030517578
802,75.70000457763672,2.4000000000000004,20.11999893188477
803,69.0999984741211,2.9000000000000004,16.979999542236328
804,73.20000457763672,0.8,18.96999931335449
805,68.5,0.8,18.520000457763672
806,52.5,16.400000000000002,14.119999885559082
807,51.70000076293945,20.0,13.789999961853027
808,49.20000076293945,63.900000000000006,19.40999984741211
809,83.0,5.7,26.920000076293945
810,83.0999984741211,5.800000000000001,26.559999465942383
811,56.79999923706055,7.2,14.679999351501465
812,51.29999923706055,26.9,13.929999351501465
813,47.79999923706055,6.9,12.65999984741211
814,104.0,3.3000000000000003,22.65999984741211
815,72.20000457763672,2.9000000000000004,17.049999237060547
816,72.80000305175781,1.5,17.44999885559082
817,61.5,6.0,15.09999942779541
818,85.0999984741211,1.3,21.809999465942383
819,,,
820,,,
821,65.5999984741211,2.6,16.350000381469727
822,46.29999923706055,34.300000000000004,16.559999465942383
823,45.5,33.9,19.10999870300293
824,72.9000015258789,2.4000000000000004,16.93000030517578
825,67.4000015258789,0.6000000000000001,18.44999885559082
826,75.70000457763672,1.4,18.44999885559082
827,65.0999984741211,4.5,22.0
828,64.0999984741211,13.2,17.270000457763672
829,47.79999923706055,6.9,12.65999984741211
830,46.60000228881836,62.1,19.46999931335449
831,48.29999923706055,27.8,18.93000030517578
832,51.29999923706055,26.9,13.929999351501465
833,51.10000228881836,44.5,18.779998779296875
834,76.80000305175781,0.5,18.65999984741211
835,72.20000457763672,2.9000000000000004,17.049999237060547
836,79.80000305175781,1.2000000000000002,19.239999771118164
837,63.400001525878906,13.5,18.51000022888184
838,75.9000015258789,1.1,18.35999870300293
839,75.0,1.6,18.559999465942383
840,75.80000305175781,1.4,18.279998779296875
841,66.5,4.800000000000001,16.850000381469727
842,74.4000015258789,1.7000000000000002,18.40999984741211
843,59.20000076293945,36.6,17.85999870300293
844,85.0999984741211,0.7000000000000001,22.0
845,67.4000015258789,0.6000000000000001,18.44999885559082
846,80.0,0.4,20.059999465942383
847,45.5,46.8,19.60999870300293
848,90.20000457763672,2.2,24.34000015258789
849,67.5,3.0,16.719999313354492
850,73.30000305175781,3.3000000000000003,17.850000381469727
851,68.5,0.8,18.520000457763672
852,43.70000076293945,44.5,18.959999084472656
853,85.0,2.1,24.170000076293945
854,86.30000305175781,2.1,23.739999771118164
855,75.5,3.6,25.729999542236328
856,75.0,2.8000000000000003,18.770000457763672
857,76.20000457763672,2.8000000000000003,18.959999084472656
858,78.30000305175781,2.7,18.15999984741211
859,64.30000305175781,4.0,19.96999931335449
860,64.80000305175781,4.0,18.78999900817871
861,104.0,3.3000000000000003,22.65999984741211
862,85.5999984741211,4.3,19.209999084472656
863,89.9000015258789,5.6000000000000005,21.709999084472656
864,92.0,5.300000000000001,22.15999984741211
865,91.5999984741211,27.3,20.46999931335449
866,101.5999984741211,12.1,22.229999542236328
867,113.9000015258789,4.4,23.43000030517578
868,109.20000457763672,16.2,25.779998779296875
869,,,
870,,,
871,93.70000457763672,9.6,21.979999542236328
872,91.0,21.5,20.10999870300293
873,90.20000457763672,3.3000000000000003,19.489999771118164
874,89.9000015258789,4.2,19.39999961853028
875,70.4000015258789,66.2,17.779998779296875
876,111.5,5.6000000000000005,22.670000076293945
877,91.20000457763672,5.1000000000000005,19.14999961853028
878,91.9000015258789,19.8,22.979999542236328
879,95.5,22.6,21.07999992370605
880,98.8000030517578,21.4,21.75
